,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
1345,http://www.wikidata.org/entity/Q1020694,Bülent Çelebi,1976,male,Turkey,Asia,"film actor, rapper, actor","film actor, rapper, actor"
1346,http://www.wikidata.org/entity/Q112563255,Mirjam Schweiger,1986,female,Austria,Europe,"visual artist, rapper, painter, artist","visual artist, rapper, painter, artist"
1347,http://www.wikidata.org/entity/Q519965,Professor Jay,1975,male,Tanzania,Africa,"rapper, songwriter, singer, politician, actor","rapper, songwriter, singer, politician, actor"
1348,http://www.wikidata.org/entity/Q4974413,Brooke Candy,1989,female,United States,North America,"model, rapper, songwriter, singer","model, rapper, songwriter, singer"
1349,http://www.wikidata.org/entity/Q97222820,Milli,2002,female,Thailand,Asia,"rapper, singer","rapper, singer"
1350,http://www.wikidata.org/entity/Q324726,Mac Miller,1992,male,United States,North America,"rapper, songwriter, record producer, singer","rapper, songwriter, record producer, singer"
1351,http://www.wikidata.org/entity/Q6025601,Mr. Rango,1972,male,Spain,Europe,rapper,rapper
1352,http://www.wikidata.org/entity/Q5799728,Dave Bee,1973,male,Spain,Europe,rapper,rapper
1353,http://www.wikidata.org/entity/Q56246495,Paulo Londra,1998,male,Argentina,South America,"rapper, songwriter, singer","rapper, songwriter, singer"
1354,http://www.wikidata.org/entity/Q1154079,DJ Drama,1978,male,United States,North America,"rapper, record producer, disc jockey","rapper, record producer, disc jockey"
1355,http://www.wikidata.org/entity/Q120491513,Kay Thug,2002,male,Ghana,Africa,"rapper, musician","rapper, musician"
1356,http://www.wikidata.org/entity/Q1894,Memphis Depay,1994,male,"Ghana, Kingdom of the Netherlands","Africa, Europe",rapper,rapper
1357,http://www.wikidata.org/entity/Q13605596,Travis Scott,1991,male,United States,North America,"film actor, voice actor, rapper, songwriter, record producer, singer, composer","film actor, voice actor, rapper, songwriter, record producer, singer, composer"
1358,http://www.wikidata.org/entity/Q5167272,Cool C,1969,male,United States,North America,"rapper, singer","rapper, singer"
1359,http://www.wikidata.org/entity/Q115804773,Jay Scott,1989,male,Canada,North America,"rapper, musician","rapper, musician"
1360,http://www.wikidata.org/entity/Q125753751,Joshua Williams,1999,male,United States,North America,rapper,rapper
1361,http://www.wikidata.org/entity/Q121579375,Haku Shota,2005,male,Japan,Asia,"dancer, rapper","dancer, rapper"
1362,http://www.wikidata.org/entity/Q5562923,Anton Axélo,1984,male,Sweden,Europe,"rapper, musician, record producer","rapper, musician, record producer"
1363,http://www.wikidata.org/entity/Q120734926,Milo J,2006,male,Argentina,South America,"rapper, songwriter, singer","rapper, songwriter, singer"
1364,http://www.wikidata.org/entity/Q2374721,Tunisiano,1979,male,France,Europe,rapper,rapper
1365,http://www.wikidata.org/entity/Q582981,Mr. Lif,1977,male,United States,North America,"rapper, record producer","rapper, record producer"
1366,http://www.wikidata.org/entity/Q6722335,Mac Minister,1901,male,United States,North America,rapper,rapper
1367,http://www.wikidata.org/entity/Q21004712,Kevin Abstract,1996,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1368,http://www.wikidata.org/entity/Q17385668,Kid Bookie,1992,male,United Kingdom,Europe,"rapper, singer","rapper, singer"
1369,http://www.wikidata.org/entity/Q106472315,Pretty Solero,1993,male,Italy,Europe,rapper,rapper
1370,http://www.wikidata.org/entity/Q116948084,Militant A,1966,male,Italy,Europe,"rapper, writer","rapper, writer"
1371,http://www.wikidata.org/entity/Q61127806,Corona,1988,male,Serbia,Europe,rapper,rapper
1372,http://www.wikidata.org/entity/Q16729069,Njena Reddd Foxxx,1901,female,United States,North America,"rapper, songwriter","rapper, songwriter"
1373,http://www.wikidata.org/entity/Q3753086,Fresh I.E.,1973,male,Canada,North America,"rapper, singer","rapper, singer"
1374,http://www.wikidata.org/entity/Q30311706,Park Woojin,1999,male,South Korea,Asia,"dancer, rapper, songwriter, singer","dancer, rapper, songwriter, singer"
1375,http://www.wikidata.org/entity/Q522680,Oh No,1979,male,United States,North America,"rapper, musician, record producer, composer","rapper, musician, record producer, composer"
1376,http://www.wikidata.org/entity/Q1665613,Mitchy Slick,1978,male,United States,North America,"rapper, songwriter, musician","rapper, songwriter, musician"
1377,http://www.wikidata.org/entity/Q95946142,Xie Keyin,1997,female,People's Republic of China,Asia,"rapper, singer","rapper, singer"
1378,http://www.wikidata.org/entity/Q80189086,Nenny,2002,female,Portugal,Europe,rapper,rapper
1379,http://www.wikidata.org/entity/Q23685757,Xpert,1990,male,Azerbaijan,Asia,"rapper, musician","rapper, musician"
1380,http://www.wikidata.org/entity/Q79276091,Josué Bernardo Marcial Santos,1995,male,Mexico,North America,rapper,rapper
1381,http://www.wikidata.org/entity/Q116975381,Hard GZ,1995,male,Spain,Europe,rapper,rapper
1382,http://www.wikidata.org/entity/Q108579993,MC Negão da BL,1997,male,Brazil,South America,"YouTuber, rapper","YouTuber, rapper"
1383,http://www.wikidata.org/entity/Q19959024,George Boateng,1982,male,Germany,Europe,"rapper, musician","rapper, musician"
1384,http://www.wikidata.org/entity/Q111210370,Luidji,1991,male,France,Europe,"rapper, singer","rapper, singer"
1385,http://www.wikidata.org/entity/Q125292379,Q125292379,2003,male,United States,North America,rapper,rapper
1386,http://www.wikidata.org/entity/Q361649,Plies,1976,male,United States,North America,"rapper, songwriter","rapper, songwriter"
1387,http://www.wikidata.org/entity/Q4353377,Prozak,1977,male,United States,North America,"activist, director, rapper, songwriter, singer","activist, director, rapper, songwriter, singer"
1388,http://www.wikidata.org/entity/Q29048011,Eddie Cheeba,1956,male,United States,North America,"rapper, disc jockey","rapper, disc jockey"
1389,http://www.wikidata.org/entity/Q1646482,Lin-Manuel Miranda,1980,male,United States,North America,"film actor, director, rapper, songwriter, playwright, singer, composer, writer, actor, screenwriter","film actor, director, rapper, songwriter, playwright, singer, composer, writer, actor, screenwriter"
1390,http://www.wikidata.org/entity/Q58454675,Ray Fuego,1996,male,Kingdom of the Netherlands,Europe,rapper,rapper
1391,http://www.wikidata.org/entity/Q5398210,Eslam Jawaad,1901,male,Lebanon,Asia,rapper,rapper
1392,http://www.wikidata.org/entity/Q2465962,Sonny Sandoval,1974,male,United States,North America,"rapper, guitarist, songwriter, musician, singer","rapper, guitarist, songwriter, musician, singer"
1393,http://www.wikidata.org/entity/Q69359389,Mad Clip,1987,male,"Greece, United States","Europe, North America","rapper, songwriter, singer","rapper, songwriter, singer"
1394,http://www.wikidata.org/entity/Q6899063,Money-B,1901,male,United States,North America,rapper,rapper
1395,http://www.wikidata.org/entity/Q89591512,Sapobully,1998,male,Italy,Europe,"rapper, singer","rapper, singer"
1396,http://www.wikidata.org/entity/Q6408916,Kim Jin Pyo,1977,male,South Korea,Asia,"rapper, photographer","rapper, photographer"
1397,http://www.wikidata.org/entity/Q18022440,Dareysteel,1975,male,Spain,Europe,"rapper, songwriter, record producer, singer","rapper, songwriter, record producer, singer"
1398,http://www.wikidata.org/entity/Q7694067,Teddy Park,1978,male,South Korea,Asia,"rapper, songwriter, record producer, singer","rapper, songwriter, record producer, singer"
1399,http://www.wikidata.org/entity/Q11266766,Lee Min-hyuk,1990,male,South Korea,Asia,"presenter, film actor, rapper, songwriter, record producer, singer, disc jockey, actor","presenter, film actor, rapper, songwriter, record producer, singer, disc jockey, actor"
1400,http://www.wikidata.org/entity/Q97704455,Castle J,1999,male,South Korea,Asia,rapper,rapper
1401,http://www.wikidata.org/entity/Q19609660,Badshah,1989,male,Pakistan,Asia,"television personality, rapper, songwriter, record producer, singer, entrepreneur","television personality, rapper, songwriter, record producer, singer, entrepreneur"
1402,http://www.wikidata.org/entity/Q112225861,Rhove,2001,male,Italy,Europe,"rapper, singer","rapper, singer"
1403,http://www.wikidata.org/entity/Q120244477,Elvis Hamidovic,2004,male,Sweden,Europe,rapper,rapper
1404,http://www.wikidata.org/entity/Q4943392,Boom Bam,1971,male,United States,North America,rapper,rapper
1405,http://www.wikidata.org/entity/Q24578944,Demi Portion,1983,male,France,Europe,rapper,rapper
1406,http://www.wikidata.org/entity/Q2797258,Phreako Rico,1977,male,Kingdom of the Netherlands,Europe,rapper,rapper
1407,http://www.wikidata.org/entity/Q6679325,Lord Have Mercy,1973,male,United States,North America,rapper,rapper
1408,http://www.wikidata.org/entity/Q21642615,Je'kob,1981,male,United States,North America,"rapper, songwriter, singer","rapper, songwriter, singer"
1409,http://www.wikidata.org/entity/Q450714,Heavy D,1967,male,United States,North America,"record producer, rapper, songwriter, singer, actor","record producer, rapper, songwriter, singer, actor"
1410,http://www.wikidata.org/entity/Q61111005,Suur Papa,1989,male,Estonia,Europe,rapper,rapper
1411,http://www.wikidata.org/entity/Q134469888,Young Alpha,1994,male,Germany,Europe,rapper,rapper
1412,http://www.wikidata.org/entity/Q115262438,macovaseas,1997,male,People's Republic of China,Asia,rapper,rapper
